mask,trials_count,mean_zero_mask,std_zero_mask,mean_zero_random,std_zero_random
0003,100,4.06,1.808062750318946,0.22,0.48367281703584913
0007,100,1.75,1.4097424365371634,0.19,0.4191140246479061
1001,100,3.75,1.8929694486000914,0.23,0.489382212074519
