input_hex,input_dec,output_hex,output_dec
0x00C6,198,0xB71D,46877
0x00C7,199,0x196E,6510
0x00C8,200,0xFB8C,64396
0x00C9,201,0x83D6,33750
0x00CA,202,0x75B9,30137
0x00CB,203,0xFCB8,64696
0x00CC,204,0xDEDE,57054
0x00CD,205,0x3388,13192
0x00CE,206,0xCEDF,52959
0x00CF,207,0x6DA1,28065
0x00D0,208,0x81C5,33221
0x00D1,209,0x27BE,10174
0x00D2,210,0xED12,60690
0x00D3,211,0x4FC7,20423
0x00D4,212,0x6E08,28168
0x00D5,213,0x07BC,1980
0x00D6,214,0x01DC,476
0x00D7,215,0xA5F0,42480
0x00D8,216,0xE3B6,58294
0x00D9,217,0x53BD,21437
0x00DA,218,0x6446,25670
0x00DB,219,0x7BB7,31671
0x00DC,220,0x2EC0,11968
0x00DD,221,0x9191,37265
0x00DE,222,0x0F69,3945
0x00DF,223,0xA813,43027
0x00E0,224,0x518C,20876
0x00E1,225,0x08F7,2295
0x00E2,226,0x7214,29204
0x00E3,227,0x1DA6,7590
0x00E4,228,0x95C0,38336
0x00E5,229,0x1DF3,7667
0x00E6,230,0x9FDB,40923
0x00E7,231,0xDDEE,56814
0x00E8,232,0x0B38,2872
0x00E9,233,0x2C0E,11278
0x00EA,234,0x2D3C,11580
0x00EB,235,0x43E9,17385
0x00EC,236,0xD00D,53261
0x00ED,237,0x6AA6,27302
0x00EE,238,0x2525,9509
0x00EF,239,0x3D79,15737
0x00F0,240,0xB649,46665
0x00F1,241,0xAF27,44839
0x00F2,242,0x5948,22856
0x00F3,243,0x685B,26715
0x00F4,244,0x2F6B,12139
0x00F5,245,0xCB61,52065
0x00F6,246,0xB784,46980
0x00F7,247,0xBC9E,48286
0x00F8,248,0x8A31,35377
0x00F9,249,0xF834,63540
0x00FA,250,0xC963,51555
0x00FB,251,0x5720,22304
0x00FC,252,0x0660,1632
0x00FD,253,0x9C14,39956
0x00FE,254,0xB60D,46605
0x00FF,255,0x2D2D,11565
0x0100,256,0x03B8,952
0x0101,257,0x7777,30583
0x0102,258,0x874B,34635
0x0103,259,0x0E4A,3658
0x0104,260,0xC76D,51053
0x0105,261,0x9CEB,40171
0x0106,262,0xD23C,53820
0x0107,263,0xB98A,47498
0x0108,264,0xAD61,44385
0x0109,265,0x3223,12835
0x010A,266,0xB3F7,46071
0x010B,267,0x4FE5,20453
0x010C,268,0xDD66,56678
0x010D,269,0xCD54,52564
0x010E,270,0xDE21,56865
0x010F,271,0xC927,51495
0x0110,272,0x1515,5397
0x0111,273,0xC682,50818
0x0112,274,0x840C,33804
0x0113,275,0x6DA1,28065
0x0114,276,0x0F87,3975
0x0115,277,0xD17B,53627
0x0116,278,0x3EF2,16114
0x0117,279,0xB9FD,47613
0x0118,280,0xCB25,52005
0x0119,281,0x7E18,32280
0x011A,282,0xDD77,56695
0x011B,283,0x2130,8496
0x011C,284,0x284E,10318
0x011D,285,0xE50B,58635
0x011E,286,0x7AF2,31474
0x011F,287,0x9768,38760
0x0120,288,0xAC35,44085
0x0121,289,0x6226,25126
0x0122,290,0x84C0,33984
0x0123,291,0x3232,12850
0x0124,292,0xC01D,49181
0x0125,293,0xDD44,56644
0x0126,294,0x782D,30765
0x0127,295,0xDF02,57090
0x0128,296,0x5027,20519
0x0129,297,0x3298,12952
0x012A,298,0xD71B,55067
0x012B,299,0x2233,8755
0x012C,300,0xB748,46920
0x012D,301,0x7B0C,31500
0x012E,302,0x068E,1678
0x012F,303,0x2A4C,10828
0x0130,304,0xCC77,52343
0x0131,305,0x30FC,12540
0x0132,306,0x8181,33153
0x0133,307,0x47CF,18383
0x0134,308,0x8B12,35602
0x0135,309,0x3AB2,15026
0x0136,310,0xB957,47447
0x0137,311,0x953F,38207
0x0138,312,0x0752,1874
0x0139,313,0x0011,17
0x013A,314,0x76CD,30413
0x013B,315,0x7016,28694
0x013C,316,0x9A12,39442
0x013D,317,0x7788,30600
0x013E,318,0xF960,63840
0x013F,319,0x1A5E,6750
0x0140,320,0x4411,17425
0x0141,321,0xCEB9,52921
0x0142,322,0x37BF,14271
0x0143,323,0x87B4,34740
0x0144,324,0xE1C3,57795
0x0145,325,0x4949,18761
0x0146,326,0x6F5C,28508
0x0147,327,0x7E09,32265
0x0148,328,0x902B,36907
0x0149,329,0x7645,30277
0x014A,330,0x649B,25755
0x014B,331,0xE0A4,57508
0x014C,332,0xDAE9,56041
0x014D,333,0x279C,10140
0x014E,334,0x719F,29087
0x014F,335,0xC963,51555
0x0150,336,0xA5B4,42420
0x0151,337,0xEF45,61253
0x0152,338,0x8EBD,36541
0x0153,339,0x780F,30735
0x0154,340,0x0A0A,2570
0x0155,341,0x2A91,10897
0x0156,342,0xF01E,61470
0x0157,343,0x81B2,33202
0x0158,344,0x3B08,15112
0x0159,345,0xB89A,47258
0x015A,346,0x4598,17816
0x015B,347,0xB748,46920
0x015C,348,0xD0F2,53490
0x015D,349,0x3407,13319
0x015E,350,0x0DA7,3495
0x015F,351,0x25F8,9720
0x0160,352,0xD1C0,53696
0x0161,353,0x5995,22933
0x0162,354,0xAEFB,44795
0x0163,355,0xFD13,64787
0x0164,356,0x68A4,26788
0x0165,357,0xF21C,61980
0x0166,358,0x3982,14722
0x0167,359,0xB2B2,45746
0x0168,360,0x6D92,28050
0x0169,361,0xF186,61830
0x016A,362,0xA219,41497
0x016B,363,0xBA76,47734
0x016C,364,0x8998,35224
0x016D,365,0x5306,21254
0x016E,366,0xCCAA,52394
0x016F,367,0xBE63,48739
0x0170,368,0x3407,13319
0x0171,369,0x3E85,16005
0x0172,370,0x6EB3,28339
0x0173,371,0x7AD0,31440
0x0174,372,0x0088,136
0x0175,373,0x7016,28694
0x0176,374,0x3131,12593
0x0177,375,0xFF44,65348
0x0178,376,0xA6B7,42679
0x0179,377,0x23DC,9180
0x017A,378,0xF99F,63903
0x017B,379,0x4AC2,19138
0x017C,380,0xC693,50835
0x017D,381,0x6C1B,27675
0x017E,382,0x7250,29264
0x017F,383,0x6600,26112
0x0180,384,0xE1D2,57810
0x0181,385,0x3829,14377
0x0182,386,0x4B3C,19260
0x0183,387,0x1045,4165
0x0184,388,0x76CD,30413
0x0185,389,0x96F0,38640
0x0186,390,0x718E,29070
0x0187,391,0xC2B5,49845
0x0188,392,0xE934,59700
0x0189,393,0x6262,25186
0x018A,394,0xEBD8,60376
0x018B,395,0x50BE,20670
0x018C,396,0x6E3B,28219
0x018D,397,0xF917,63767
0x018E,398,0x32DC,13020
0x018F,399,0x60AC,24748
0x0190,400,0xF719,63257
0x0191,401,0x0B6D,2925
0x0192,402,0x07AD,1965
0x0193,403,0xE03D,57405
0x0194,404,0xEB72,60274
0x0195,405,0x03DE,990
0x0196,406,0xF971,63857
0x0197,407,0xAF50,44880
0x0198,408,0xBDBD,48573
0x0199,409,0x179F,6047
0x019A,410,0x6710,26384
0x019B,411,0xCBAD,52141
0x019C,412,0x9DBF,40383
0x019D,413,0x5AF0,23280
0x019E,414,0xDB42,56130
0x019F,415,0xC61B,50715
0x01A0,416,0x038B,907
0x01A1,417,0xFE54,65108
0x01A2,418,0x4F7C,20348
0x01A3,419,0x853E,34110
0x01A4,420,0xDA25,55845
0x01A5,421,0xE4A0,58528
0x01A6,422,0x9F8E,40846
0x01A7,423,0x5E6D,24173
0x01A8,424,0xDC10,56336
0x01A9,425,0x2266,8806
0x01AA,426,0x0F78,3960
0x01AB,427,0x0A0A,2570
0x01AC,428,0x03B8,952
0x01AD,429,0xDCBA,56506
0x01AE,430,0x4BE1,19425
0x01AF,431,0x02B9,697
0x01B0,432,0xC76D,51053
0x01B1,433,0x9081,36993
0x01B2,434,0xA77A,42874
0x01B3,435,0x9DAE,40366
0x01B4,436,0xC88C,51340
0x01B5,437,0xA25D,41565
0x01B6,438,0xF76E,63342
0x01B7,439,0xC6B1,50865
0x01B8,440,0x5D80,23936
0x01B9,441,0xD01C,53276
0x01BA,442,0x2323,8995
0x01BB,443,0xC682,50818
0x01BC,444,0x1ED2,7890
0x01BD,445,0x486A,18538
0x01BE,446,0x5027,20519
0x01BF,447,0x84D1,34001
0x01C0,448,0xA318,41752
0x01C1,449,0xA8CE,43214
0x01C2,450,0x11EE,4590
0x01C3,451,0x6A1D,27165
0x01C4,452,0xE428,58408
0x01C5,453,0x0FD2,4050
0x01C6,454,0x3B4C,15180
0x01C7,455,0xAB01,43777
0x01C8,456,0x2B81,11137
0x01C9,457,0x7DA0,32160
0x01CA,458,0x3BE6,15334
0x01CB,459,0x56CF,22223
0x01CC,460,0x3FB7,16311
0x01CD,461,0xA9A9,43433
0x01CE,462,0xBBDD,48093
0x01CF,463,0xA7E3,42979
0x01D0,464,0x1670,5744
0x01D1,465,0xCEDF,52959
0x01D2,466,0x581C,22556
0x01D3,467,0xEA15,59925
0x01D4,468,0x5A78,23160
0x01D5,469,0x29B0,10672
0x01D6,470,0x87D2,34770
0x01D7,471,0x2255,8789
0x01D8,472,0xA01B,40987
0x01D9,473,0xFE54,65108
0x01DA,474,0xD54C,54604
0x01DB,475,0xC71A,50970
0x01DC,476,0x4A4A,19018
0x01DD,477,0xE45F,58463
0x01DE,478,0x7AF2,31474
0x01DF,479,0xCC55,52309
0x01E0,480,0x6C93,27795
0x01E1,481,0x927C,37500
0x01E2,482,0x5E4F,24143
0x01E3,483,0x31A8,12712
0x01E4,484,0xB290,45712
0x01E5,485,0x78D2,30930
0x01E6,486,0xD0B6,53430
0x01E7,487,0xF2E3,62179
0x01E8,488,0x5ED6,24278
0x01E9,489,0xA192,41362
0x01EA,490,0x96C3,38595
0x01EB,491,0x813A,33082
0x01EC,492,0x6F09,28425
0x01ED,493,0xCFB8,53176
0x01EE,494,0x793D,31037
0x01EF,495,0xABAB,43947
0x01F0,496,0x1463,5219
0x01F1,497,0x22DD,8925
